didok;stationsbezeichnung;parkrail_anzahl;parkrail_preis_tag;parkrail_preis_monat;parkrail_preis_jahr;parkrail_pflichtig_zeit1;parkrail_pflichtig_zeit2;parkrail_pflichtig_zeit3;parkrail_bemerkung;railtaxitext;railtaxiinfo;mietvelo_bezeichnung;mietvelo_anzahl;mietvelo_bemerkung;veloparking_status_d;veloparking_bemerkung_d;veloparking_abschliessbar;veloparking_abschliessbar_text;carsharing standort_bezeichnung;parkrail_App;parkrail_Webshop;parkrail_Lokal;BPUIC;Name Haltestelle;lod;geopos;plz;meteo;tu-nummer;Abkuerzung Bahnhof
2001;Zofingen;70.0;;80.0;960.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Öffentliches Parkhaus, Abos nur erhältlich beim Stadtbüro Zofingen, Tel. 062 745 71 72. Beim Bezug eines Parkabonnements bringen Sie bitte Ihr gültiges Bahnabonnement oder, falls Sie einen SwissPass besitzen, einen Ausdruck aus Ihrem SwissPass-Konto oder die Kaufquittung resp. das Vertragsdoppel Ihres GA, Strecken- oder Verbundabonnements vorbei.;Gratisnummer 0800 44 22 66;"RailTaxi Treffpunkt: vor Eingang Aperto, in Nähe SBB Treffpunkt
Zugehörige Agglomerationsstandorte: Zofingen, Bottenwil, Brittnau, Oftringen, Rothrist, Safenwil, Strengelbach, Uerkheim, Vordemwald, Wikon
Partner: Bahnhof-Taxi / Bahnhof-Argovia Taxi, Zofingen";;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;Zofingen Bahnhof / Brühlstrasse;0;0;1;8502001;Zofingen;http://lod.opentransportdata.swiss/didok/8502001;47.2880525354,7.94311767398;4800;https://meteo.sbb.ch/?didok=8502001;11;ZF
2001;Zofingen;70.0;;80.0;960.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Öffentliches Parkhaus, Abos nur erhältlich beim Stadtbüro Zofingen, Tel. 062 745 71 72. Beim Bezug eines Parkabonnements bringen Sie bitte Ihr gültiges Bahnabonnement oder, falls Sie einen SwissPass besitzen, einen Ausdruck aus Ihrem SwissPass-Konto oder die Kaufquittung resp. das Vertragsdoppel Ihres GA, Strecken- oder Verbundabonnements vorbei.;Gratisnummer 0800 44 22 66;"RailTaxi Treffpunkt: vor Eingang Aperto, in Nähe SBB Treffpunkt
Zugehörige Agglomerationsstandorte: Zofingen, Bottenwil, Brittnau, Oftringen, Rothrist, Safenwil, Strengelbach, Uerkheim, Vordemwald, Wikon
Partner: Bahnhof-Taxi / Bahnhof-Argovia Taxi, Zofingen";;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;Zofingen Bahnhof;0;0;1;8502001;Zofingen;http://lod.opentransportdata.swiss/didok/8502001;47.2880525354,7.94311767398;4800;https://meteo.sbb.ch/?didok=8502001;11;ZF
2002;Brittnau-Wikon;8.0;0.0;0.0;0.0;;;;;Gratisnummer 0800 44 22 66;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;0;0;0;8502002;Brittnau-Wikon;http://lod.opentransportdata.swiss/didok/8502002;47.262666155,7.95704084851;4806;https://meteo.sbb.ch/?didok=8502002;11;BRIT
2003;Reiden;34.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;;1;1;1;8502003;Reiden;http://lod.opentransportdata.swiss/didok/8502003;47.2414683721,7.96877438563;6260;https://meteo.sbb.ch/?didok=8502003;11;REID
2004;Dagmersellen;28.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;Dagmersellen Bahnhof;1;1;1;8502004;Dagmersellen;http://lod.opentransportdata.swiss/didok/8502004;47.2175579408,7.97902592247;6252;https://meteo.sbb.ch/?didok=8502004;11;DAG
2005;Nebikon;62.0;5.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;1;8502005;Nebikon;http://lod.opentransportdata.swiss/didok/8502005;47.192380621,7.9774494816;6244;https://meteo.sbb.ch/?didok=8502005;11;NEB
2006;Wauwil;16.0;0.0;0.0;0.0;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;0;0;0;8502006;Wauwil;http://lod.opentransportdata.swiss/didok/8502006;47.1838589748,8.01902005935;6243;https://meteo.sbb.ch/?didok=8502006;11;WAU
2007;Sursee;47.0;10.0;;;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;"<b>Die obigen Angaben beziehen sich ausschliesslich auf die geteerte und nummerierte Anlage entlang der Gleise auf der Südseite des Bahnhofs.</b><br><br><b>Weitere Anlagen in der Nähe:</b><br><li>Parkplätze der Stadt Sursee;; Kiesplatz vis-à-vis Bahnhof, Kiesplatz hinter Restaurant Bahnhof, Ex-Therma Areal;; Tageskarten nur an der Parkuhr mit Bargeld (CHF 10.- /Tag)<br><li>Parkhaus Bahnhof West (Haselmatte);; Tageskarte CHF 5.- Mo-Fr und CHF 4.- Sa-So;; Verkauf beim Parkhaus oder bei der Firma Redinvest AG in Sursee<br><li>Parkhaus ''Leopold'' Bahnhof Sursee;; Verkauf beim Parkhaus oder bei der Stadtverwaltung Sursee";;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Sursee Bahnhof;1;1;1;8502007;Sursee;http://lod.opentransportdata.swiss/didok/8502007;47.1707950409,8.09789386466;6210;https://meteo.sbb.ch/?didok=8502007;11;SS
2008;Nottwil;10.0;5.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;1;8502008;Nottwil;http://lod.opentransportdata.swiss/didok/8502008;47.1388117477,8.13860102485;6207;https://meteo.sbb.ch/?didok=8502008;11;NO
2009;Sempach-Neuenkirch;49.0;6.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Sempach Bahnhof Sempach-Neuenkirch;1;1;1;8502009;Sempach-Neuenkirch;http://lod.opentransportdata.swiss/didok/8502009;47.1160532116,8.19597905819;6203;https://meteo.sbb.ch/?didok=8502009;11;SEM
